ID;Titulo;Genero;Plataforma;Fecha_Lanzamiento;Puntuacion;Desarrollador;Precio_USD;Multiplataforma;Metascore;
1;THE LEGEND OF ZELDA;Aventura;Switch;3/03/2017;9.5;Nintendo;59.99;No;97;
2;god of war;Acción;PS4;20/04/2018;9.8;Santa Monica;39.99;true;94;
3;God of War;"Acción; Aventura";PS4;20/04/2018;9.8;Santa Monica Studio;39.99;Sí;94;
4;;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Yes;76;
5;Minecraft;Sandbox;;18/11/2011;9.0;Mojang;26.95;Y;93;
6;The Witcher 3;RPG;PS4;may-19;2015;9.7;;;Sí;92
7;FORTNITE;Battle Royale;Multi;25/07/2017;8.0;Epic Games;Gratis;Yes;78;
8;GTA V;Acción;PS4;17/09/2013;10;Rockstar;29.99;No;97;
9;;Estrategia;PC;14/07/2020;8.2;;19.99;N;;
10;animal crossing;Simulación;Switch;20/03/2020;8.5;Nintendo;49.99;NO;90;
11;THE LAST OF US;"Acción; Aventura";PS4;19/06/2020;8.5;Naughty Dog;49.99;no;93;
12;halo infinite;Shooter;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
13;Among Us;Party Game;Mobile;15/06/2018;7.5;Innersloth;Free;Sí;85;
14;Red Dead Redemption 2;AVENTURA;PS4;26/10/2018;9.5;Rockstar Games;59.99;Yes;97;
15;CALL OF DUTY;FPS;Multiplatform;10/03/2020;8.0;Infinity Ward;0;TRUE;79;
16;Overwatch 2;Shooter;PC;4/10/2022;6.5;Blizzard Entertainment;F2P;Yes;68;
17;ELDEN RING;RPG;PS5;25/02/2022;9.5;FromSoftware;59.99;Sí;96;
18;;Sports;Xbox;9/09/2021;8.2;EA Sports;69.99;No;78;
19;FIFA 23;Football;PS5;30/09/2022;8.0;EA Vancouver;59.99;yes;76;
20;Cyberpunk 2077;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Sí;76;
21;God of War;Acción;PS4;20/04/2018;9.8;Santa Monica;39.99;true;94;
22;The Legend of Zelda;Aventura;Switch;3/03/2017;9.5;Nintendo EPD;59.99;No;97;
23;Halo Infinite;FPS;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
24;;RPG;PC;10/12/2020;7.2;CD Projekt Red;29.99;Yes;76;
25;Minecraft;Sandbox;PC;18/11/2011;9.0;Mojang Studios;26.95;Y;93;
26;The Witcher 3;"RPG; Aventura";PS4;19/05/2015;9.7;CD Projekt Red;;Sí;92;
27;Fortnite;Battle Royale;Multi;25/07/2017;8.0;Epic Games;0.00;Yes;78;
28;Grand Theft Auto V;Acción-Aventura;PS4;17/09/2013;10;Rockstar North;29.99;No;97;
29;;Strategy;PC;14/07/2020;8.2;;19.99;No;;
30;Animal Crossing;Simulación;Switch;20/03/2020;8.5;Nintendo EPD;49.99;NO;90;
31;The Last of Us Part II;"Acción; Aventura";PS4;19/06/2020;8.5;Naughty Dog;49.99;no;93;
32;HALO INFINITE;Shooter;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
33;AMONG US;Party Game;Mobile;15/06/2018;7.5;Innersloth;Gratis;Sí;85;
34;Red Dead Redemption II;Aventura;PS4;26/10/2018;9.5;Rockstar Games;59.99;Yes;97;
35;Call of Duty: Warzone;FPS;Multi;10/03/2020;8.0;Infinity Ward;0;TRUE;79;
36;Overwatch;Shooter;PC;4/10/2022;6.5;Blizzard Entertainment;F2P;Yes;68;
37;Elden Ring;RPG;PS5;25/02/2022;9.5;FromSoftware;59.99;Sí;96;
38;;Deportes;Xbox;9/09/2021;8.2;EA Sports;69.99;No;78;
39;Fifa 23;Fútbol;PS5;30/09/2022;8.0;EA Vancouver;59.99;yes;76;
40;Cyberpunk 2077;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Sí;76;
41;God of War;Acción;PS4;20/04/2018;9.8;Santa Monica;39.99;true;94;
42;The Legend of Zelda: BOTW;Aventura;Switch;3/03/2017;9.5;Nintendo;59.99;No;97;
43;Halo: Infinite;FPS;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
44;;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Yes;76;
45;Minecraft;Sandbox;PC;18/11/2011;9.0;Mojang;26.95;Y;93;
46;The Witcher 3;RPG;PS4;may-19;2015;9.7;CD Projekt Red;;Sí;92
47;Fortnite;Battle Royale;Multi;25/07/2017;8.0;Epic Games;Free;Yes;78;
48;GTA V;Acción;PS4;17/09/2013;10;Rockstar;29.99;No;97;
49;;Estrategia;PC;14/07/2020;8.2;;19.99;N;;
50;Animal Crossing: NH;Simulación;Switch;20/03/2020;8.5;Nintendo;49.99;NO;90;
51;The Last of Us;"Acción; Aventura";PS4;19/06/2020;8.5;Naughty Dog;49.99;no;93;
52;Halo Infinite;Shooter;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
53;Among Us;Party Game;Mobile;15/06/2018;7.5;Innersloth;0.00;Sí;85;
54;Red Dead Redemption 2;Aventura;PS4;26/10/2018;9.5;Rockstar Games;59.99;Yes;97;
55;Call of Duty;FPS;Multiplatform;10/03/2020;8.0;Infinity Ward;0;TRUE;79;
56;Overwatch 2;Shooter;PC;4/10/2022;6.5;Blizzard Entertainment;F2P;Yes;68;
57;Elden Ring;RPG;PS5;25/02/2022;9.5;FromSoftware;59.99;Sí;96;
58;;Sports;Xbox;9/09/2021;8.2;EA Sports;69.99;No;78;
59;FIFA 23;Football;PS5;30/09/2022;8.0;EA Vancouver;59.99;yes;76;
60;Cyberpunk 2077;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Sí;76;
61;God of War;Acción;PS4;20/04/2018;9.8;Santa Monica;39.99;true;94;
62;The Legend of Zelda;Aventura;Switch;3/03/2017;9.5;Nintendo EPD;59.99;No;97;
63;Halo Infinite;FPS;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
64;;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Yes;76;
65;Minecraft;Sandbox;PC;18/11/2011;9.0;Mojang Studios;26.95;Y;93;
66;The Witcher 3;"RPG; Aventura";PS4;19/05/2015;9.7;CD Projekt Red;;Sí;92;
67;Fortnite;Battle Royale;Multi;25/07/2017;8.0;Epic Games;0.00;Yes;78;
68;Grand Theft Auto V;Acción-Aventura;PS4;17/09/2013;10;Rockstar North;29.99;No;97;
69;;Strategy;PC;14/07/2020;8.2;;19.99;No;;
70;Animal Crossing;Simulación;Switch;20/03/2020;8.5;Nintendo EPD;49.99;NO;90;
71;The Last of Us Part II;"Acción; Aventura";PS4;19/06/2020;8.5;Naughty Dog;49.99;no;93;
72;HALO INFINITE;Shooter;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
73;AMONG US;Party Game;Mobile;15/06/2018;7.5;Innersloth;Gratis;Sí;85;
74;Red Dead Redemption II;Aventura;PS4;26/10/2018;9.5;Rockstar Games;59.99;Yes;97;
75;Call of Duty: Warzone;FPS;Multi;10/03/2020;8.0;Infinity Ward;0;TRUE;79;
76;Overwatch;Shooter;PC;4/10/2022;6.5;Blizzard Entertainment;F2P;Yes;68;
77;Elden Ring;RPG;PS5;25/02/2022;9.5;FromSoftware;59.99;Sí;96;
78;;Deportes;Xbox;9/09/2021;8.2;EA Sports;69.99;No;78;
79;Fifa 23;Fútbol;PS5;30/09/2022;8.0;EA Vancouver;59.99;yes;76;
80;Cyberpunk 2077;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Sí;76;
81;God of War;Acción;PS4;20/04/2018;9.8;Santa Monica;39.99;true;94;
82;The Legend of Zelda: BOTW;Aventura;Switch;3/03/2017;9.5;Nintendo;59.99;No;97;
83;Halo: Infinite;FPS;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
84;;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Yes;76;
85;Minecraft;Sandbox;PC;18/11/2011;9.0;Mojang;26.95;Y;93;
86;The Witcher 3;RPG;PS4;may-19;2015;9.7;CD Projekt Red;;Sí;92
87;Fortnite;Battle Royale;Multi;25/07/2017;8.0;Epic Games;Free;Yes;78;
88;GTA V;Acción;PS4;17/09/2013;10;Rockstar;29.99;No;97;
89;;Estrategia;PC;14/07/2020;8.2;;19.99;N;;
90;Animal Crossing: NH;Simulación;Switch;20/03/2020;8.5;Nintendo;49.99;NO;90;
91;The Last of Us;"Acción; Aventura";PS4;19/06/2020;8.5;Naughty Dog;49.99;no;93;
92;Halo Infinite;Shooter;Xbox;8/12/2021;8.5;343 Industries;59.99;Yes;87;
93;Among Us;Party Game;Mobile;15/06/2018;7.5;Innersloth;0.00;Sí;85;
94;Red Dead Redemption 2;Aventura;PS4;26/10/2018;9.5;Rockstar Games;59.99;Yes;97;
95;Call of Duty;FPS;Multiplatform;10/03/2020;8.0;Infinity Ward;0;TRUE;79;
96;Overwatch 2;Shooter;PC;4/10/2022;6.5;Blizzard Entertainment;F2P;Yes;68;
97;Elden Ring;RPG;PS5;25/02/2022;9.5;FromSoftware;59.99;Sí;96;
98;;Sports;Xbox;9/09/2021;8.2;EA Sports;69.99;No;78;
99;FIFA 23;Football;PS5;30/09/2022;8.0;EA Vancouver;59.99;yes;76;
100;Cyberpunk 2077;RPG;PC;10/12/2020;7.0;CD Projekt Red;29.99;Sí;76;
