,VENTA,BRUTA,CONSUI,AGREGA,CTO,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,GASTOS,GASTOSNOP,GASTOPNOP,CTOINS
8099,1758855.0,1758855.0,0.0,1758855.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,159282.0,0.0
187,827499.2667,177673.0,372425.0,-194752.0,640570.0,85.0,0.0,158375.0,0.0,125968.0,7347.0,4913.0,14472.0,14846.0,512.0,5903.0,577.0,17950.0,0.0,0.0,21477.0,1053978.0,363799.0,1665576.0,640570.0
322,1918872.0,394391.0,472020.5,-77629.5,1524481.0,216.0,0.0,197724.0,150385.0,3659.0,11730.0,4914.0,8808.0,15837.0,3060.0,20680.0,3966.0,31775.0,0.0,0.0,19266.5,2041041.0,231708.0,2819505.0,1524481.0
480,114495.0,7229.0,40006.0,-32777.0,107266.0,0.0,0.0,4491.0,0.0,33624.0,0.0,0.0,1104.0,462.0,277.0,48.0,0.0,0.0,0.0,0.0,0.0,148546.0,1279679.0,1435928.0,107266.0
509,1517654.253,-275757.0,1115547.0,-1391304.0,1751718.0,149.0,0.0,44408.0,0.0,801779.0,18422.0,8068.0,6583.0,29675.0,1675.0,491.0,3820.0,46682.0,0.0,0.0,153795.0,3041052.0,6333.0,3903593.0,1751718.0
523,1596565.0,470861.0,712297.0,-241436.0,1125704.0,0.0,33632.0,4487.0,0.0,150118.0,24492.0,7577.0,30514.0,12644.0,2809.0,149481.0,12568.0,29055.0,0.0,0.0,34007.0,1658794.0,38200.0,2649712.0,1125704.0
573,3469425.0,200274.0,236992.5,-36718.5,3269151.0,306.0,0.0,86027.0,0.0,822.0,7202.0,4106.0,18446.0,20133.0,10105.0,29723.0,26814.0,21164.0,0.0,0.0,12144.5,3577038.0,176337.0,3821192.0,3269151.0
958,108339.0372,32361.0,142867.0,-110506.0,75978.0,2000.0,0.0,15480.0,0.0,24000.0,5218.0,0.0,6000.0,0.0,3000.0,37765.0,0.0,0.0,0.0,0.0,1404.0,172751.0,753542.0,974293.0,75978.0
989,115841.167,31860.0,141735.0,-109875.0,83981.0,0.0,0.0,5167.0,8034.0,42830.0,5303.0,491.0,13298.0,12560.0,1078.0,15402.0,0.0,20861.0,0.0,0.0,16711.0,253764.0,1273668.0,2032705.0,83981.0
1050,5872817.0,1472020.0,2909663.0,-1437643.0,4400797.0,0.0,17848.0,239364.0,0.0,2015840.0,41262.0,6044.0,67095.0,20929.0,1892.0,64046.0,76560.0,96766.0,0.0,0.0,262017.0,7669883.0,1447592.0,9719272.0,4400797.0
