,VENTA,BRUTA,CONSUI,AGREGA,CTO,CTOINS,GASTOS,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ENERGIA,FLETES,PUBLICI,OTROS,TOTPERSO,PERREMUN,SUELDOS,PRESTAC,TOTREM,INVINI,INVFIN,INVPRO,ROTACION,outlier_label,outlier_score,is_outlier
4191,6261900665.0,1266240563.0,506706737.7,759533825.3,4995660102.0,4995660102.0,5561837658.0,1026977.0,6587813.0,31278806.33,1361616.333,36770952.33,13763974.33,67157725.0,20235274.33,55850705.67,73824825.33,14526.0,13496.66667,282268812.3,129074296.0,392634816.4,673827897.3,833766061.3,753796979.3,4995660102.0,-1,-0.8765277758335489,True
5269,6261900665.0,1266240563.0,506706737.7,759533825.3,4995660102.0,4995660102.0,5561837658.0,1026977.0,6587813.0,31278806.33,1361616.333,36770952.33,13763974.33,67157725.0,20235274.33,55850705.67,73824825.33,14526.0,13496.66667,282268812.3,129074296.0,392634816.4,673827897.3,833766061.3,753796979.3,4995660102.0,-1,-0.8765277758335489,True
8848,6261900665.0,1266240563.0,506706737.7,759533825.3,4995660102.0,4995660102.0,5561837658.0,1026977.0,6587813.0,31278806.33,1361616.333,36770952.33,13763974.33,67157725.0,20235274.33,55850705.67,73824825.33,14526.0,13496.66667,282268812.3,129074296.0,392634816.4,673827897.3,833766061.3,753796979.3,4995660102.0,-1,-0.8765277758335489,True
5660,8136452936.0,1284383431.0,642418549.0,641964881.7,6848473682.0,6852069505.0,7315479383.0,844759.6667,8640305.333,16111625.0,357600.0,70419888.33,4930449.333,108578716.0,62817792.67,15799626.0,24771003.67,9734.0,9594.666667,251409464.7,101555963.0,342282916.5,410960597.7,643299651.0,527130124.3,6848473682.0,-1,-0.8733429844902799,True
5649,8136452936.0,1284383431.0,642418549.0,641964881.7,6848473682.0,6852069505.0,7315479383.0,844759.6667,8640305.333,16111625.0,357600.0,70419888.33,4930449.333,108578716.0,62817792.67,15799626.0,24771003.67,9734.0,9594.666667,251409464.7,101555963.0,342282916.5,410960597.7,643299651.0,527130124.3,6848473682.0,-1,-0.8733429844902799,True
5657,8136452936.0,1284383431.0,642418549.0,641964881.7,6848473682.0,6852069505.0,7315479383.0,844759.6667,8640305.333,16111625.0,357600.0,70419888.33,4930449.333,108578716.0,62817792.67,15799626.0,24771003.67,9734.0,9594.666667,251409464.7,101555963.0,342282916.5,410960597.7,643299651.0,527130124.3,6848473682.0,-1,-0.8733429844902799,True
4000,4214626589.0,869010223.0,357064543.5,511945679.5,3343727757.0,3345616366.0,3752324975.0,170519.3333,2986067.333,14586618.0,18174928.33,44247587.33,4374446.667,23601424.0,60398357.33,59670223.0,44807877.83,5996.333333,5341.333333,158362771.7,76774921.0,228285183.0,569021318.7,722981485.7,646001402.2,3343727757.0,-1,-0.8715839005458823,True
8726,4214626589.0,869010223.0,357064543.5,511945679.5,3343727757.0,3345616366.0,3752324975.0,170519.3333,2986067.333,14586618.0,18174928.33,44247587.33,4374446.667,23601424.0,60398357.33,59670223.0,44807877.83,5996.333333,5341.333333,158362771.7,76774921.0,228285183.0,569021318.7,722981485.7,646001402.2,3343727757.0,-1,-0.8715839005458823,True
4663,4214626589.0,869010223.0,357064543.5,511945679.5,3343727757.0,3345616366.0,3752324975.0,170519.3333,2986067.333,14586618.0,18174928.33,44247587.33,4374446.667,23601424.0,60398357.33,59670223.0,44807877.83,5996.333333,5341.333333,158362771.7,76774921.0,228285183.0,569021318.7,722981485.7,646001402.2,3343727757.0,-1,-0.8715839005458823,True
7433,2175887615.0,614388455.7,231645928.2,382742527.5,1561499159.0,1561499159.0,1786486821.0,0.0,2136608.333,16533659.0,11885426.67,12135989.67,3039254.333,14780300.0,56058267.33,12360987.67,10761856.5,3302.666667,2985.333333,78263417.67,36880549.67,111305472.5,421861140.3,465171870.7,443516505.5,1561499159.0,-1,-0.8471764854060404,True
4751,2175887615.0,614388455.7,231645928.2,382742527.5,1561499159.0,1561499159.0,1786486821.0,0.0,2136608.333,16533659.0,11885426.67,12135989.67,3039254.333,14780300.0,56058267.33,12360987.67,10761856.5,3302.666667,2985.333333,78263417.67,36880549.67,111305472.5,421861140.3,465171870.7,443516505.5,1561499159.0,-1,-0.8471764854060404,True
4184,2175887615.0,614388455.7,231645928.2,382742527.5,1561499159.0,1561499159.0,1786486821.0,0.0,2136608.333,16533659.0,11885426.67,12135989.67,3039254.333,14780300.0,56058267.33,12360987.67,10761856.5,3302.666667,2985.333333,78263417.67,36880549.67,111305472.5,421861140.3,465171870.7,443516505.5,1561499159.0,-1,-0.8471764854060404,True
4153,2843599667.0,399240473.7,250268849.5,148971624.2,2444359193.0,2444359193.0,2658541460.0,1712996.0,9376860.667,1628789.333,1640387.667,25877097.0,2143128.667,53629958.67,4206710.667,12756414.67,17914096.83,7080.0,1850.0,49661124.0,21042264.0,66813034.95,283152790.3,348208177.3,315680483.8,2444359193.0,-1,-0.8465817674608075,True
2839,2843599667.0,399240473.7,250268849.5,148971624.2,2444359193.0,2444359193.0,2658541460.0,1712996.0,9376860.667,1628789.333,1640387.667,25877097.0,2143128.667,53629958.67,4206710.667,12756414.67,17914096.83,7080.0,1850.0,49661124.0,21042264.0,66813034.95,283152790.3,348208177.3,315680483.8,2444359193.0,-1,-0.8465817674608075,True
7616,2843599667.0,399240473.7,250268849.5,148971624.2,2444359193.0,2444359193.0,2658541460.0,1712996.0,9376860.667,1628789.333,1640387.667,25877097.0,2143128.667,53629958.67,4206710.667,12756414.67,17914096.83,7080.0,1850.0,49661124.0,21042264.0,66813034.95,283152790.3,348208177.3,315680483.8,2444359193.0,-1,-0.8465817674608075,True
4269,2023867779.0,381281269.0,152044298.8,229236970.2,1642586510.0,1642586510.0,1793580914.0,678.6666667,3559818.667,19518432.33,0.0,4745242.0,2317204.333,4129107.667,24942259.33,43829530.0,8200922.167,2529.666667,2373.0,83445076.0,36872393.0,115806924.4,289921450.3,385323459.3,337622454.8,1642586510.0,-1,-0.8343322624550237,True
696,2023867779.0,381281269.0,152044298.8,229236970.2,1642586510.0,1642586510.0,1793580914.0,678.6666667,3559818.667,19518432.33,0.0,4745242.0,2317204.333,4129107.667,24942259.33,43829530.0,8200922.167,2529.666667,2373.0,83445076.0,36872393.0,115806924.4,289921450.3,385323459.3,337622454.8,1642586510.0,-1,-0.8343322624550237,True
4604,2023867779.0,381281269.0,152044298.8,229236970.2,1642586510.0,1642586510.0,1793580914.0,678.6666667,3559818.667,19518432.33,0.0,4745242.0,2317204.333,4129107.667,24942259.33,43829530.0,8200922.167,2529.666667,2373.0,83445076.0,36872393.0,115806924.4,289921450.3,385323459.3,337622454.8,1642586510.0,-1,-0.8343322624550237,True
8311,3252804942.0,310009089.0,103653507.0,206355582.0,2942795853.0,2942795853.0,3069973265.0,5897.0,0.0,2718165.0,0.0,13644018.0,1988000.0,4242556.0,35862500.0,457644.0,8027173.0,5784.0,5209.0,102275320.0,44290311.0,140495896.7,369134251.0,452582691.0,410858471.0,2942795853.0,-1,-0.8318091610445772,True
3802,2827601384.0,247677099.0,112904610.5,134772488.5,2579924285.0,2579924285.0,2722635143.0,9472.0,4148697.0,9454187.0,0.0,3494343.0,9143061.0,3705638.0,45028168.0,4767503.0,8240647.5,1987.0,1628.0,49120950.0,23199878.0,70526843.76,279765621.0,421890619.0,350828120.0,2579924285.0,-1,-0.82992838262757,True
6072,4322895369.0,898967709.0,240673869.5,658293839.5,3423927660.0,3423927660.0,3680088202.0,0.0,238665.6667,22452678.67,55096.0,5868852.0,321658.3333,842863.3333,156727020.3,17797585.33,15313200.83,900.0,802.3333333,32666553.67,14370535.33,45793094.92,192103281.0,177253210.3,184678245.7,3423927660.0,-1,-0.8221642525457888,True
3777,4322895369.0,898967709.0,240673869.5,658293839.5,3423927660.0,3423927660.0,3680088202.0,0.0,238665.6667,22452678.67,55096.0,5868852.0,321658.3333,842863.3333,156727020.3,17797585.33,15313200.83,900.0,802.3333333,32666553.67,14370535.33,45793094.92,192103281.0,177253210.3,184678245.7,3423927660.0,-1,-0.8221642525457888,True
6345,4322895369.0,898967709.0,240673869.5,658293839.5,3423927660.0,3423927660.0,3680088202.0,0.0,238665.6667,22452678.67,55096.0,5868852.0,321658.3333,842863.3333,156727020.3,17797585.33,15313200.83,900.0,802.3333333,32666553.67,14370535.33,45793094.92,192103281.0,177253210.3,184678245.7,3423927660.0,-1,-0.8221642525457888,True
8251,1367662175.0,399180319.0,141854489.0,257325830.0,968481856.0,968481856.0,1129300907.0,7921.0,357370.0,2830452.0,0.0,58000258.0,807546.0,19573711.0,12959676.0,7926203.0,4402825.0,6695.0,6494.0,153489175.0,61090792.0,207020847.8,240845642.0,250448637.0,245647139.5,968481856.0,-1,-0.8193165724394559,True
6075,2065645647.0,378853336.0,60231729.0,318621607.0,1686799920.0,1686799920.0,1784732900.0,1841.0,1100967.0,2574305.0,0.0,14980926.0,188780.0,6948187.0,636813.0,17368235.0,5605700.0,3247.0,3159.0,70179539.0,30382868.0,91128523.0,324078131.0,397511886.0,360795008.5,1686799920.0,-1,-0.818468335970461,True
8092,1780242935.0,409013644.0,168715300.0,240298344.0,1371242084.0,1371242084.0,1588115137.0,6536.0,0.0,2090417.0,0.0,3102005.0,1878994.0,1321094.0,73979894.0,39302341.0,35067968.0,1538.0,1527.0,78949507.0,37772000.0,113881440.0,159835391.0,164059206.0,161947298.5,1371242084.0,-1,-0.8171726049354159,True
4708,893905143.1,375132626.0,162795283.5,212337342.5,518762973.0,518762973.0,683616010.0,0.0,2982714.0,1984149.0,122532.0,37114227.0,4937042.0,5724407.0,48391742.0,2635320.0,6892838.5,3100.0,2493.0,69008176.0,31585785.0,97751846.96,230794617.0,227475181.0,229134899.0,518762973.0,-1,-0.8142354536776533,True
4579,2214612355.0,311302771.0,150572291.3,160730479.7,1903309584.0,1903309584.0,2073574402.0,10589.33333,51451.0,9667659.667,0.0,10111215.33,3722818.667,755422.0,16551126.67,80321102.67,2670789.333,458.0,420.0,28936470.67,11724709.67,39413874.32,235998363.7,289443583.0,262720973.3,1903309584.0,-1,-0.8076136893254497,True
4335,2214612355.0,311302771.0,150572291.3,160730479.7,1903309584.0,1903309584.0,2073574402.0,10589.33333,51451.0,9667659.667,0.0,10111215.33,3722818.667,755422.0,16551126.67,80321102.67,2670789.333,458.0,420.0,28936470.67,11724709.67,39413874.32,235998363.7,289443583.0,262720973.3,1903309584.0,-1,-0.8076136893254497,True
4071,2214612355.0,311302771.0,150572291.3,160730479.7,1903309584.0,1903309584.0,2073574402.0,10589.33333,51451.0,9667659.667,0.0,10111215.33,3722818.667,755422.0,16551126.67,80321102.67,2670789.333,458.0,420.0,28936470.67,11724709.67,39413874.32,235998363.7,289443583.0,262720973.3,1903309584.0,-1,-0.8076136893254497,True
2916,4546584996.0,768160106.0,111339284.3,656820821.7,3778424890.0,3778424890.0,3944755141.0,0.0,0.0,5977831.667,516377.6667,1638686.333,2750248.0,3986926.667,17402352.33,1008635.0,52187788.33,289.3333333,254.3333333,22765918.0,9909507.0,31605254.39,88092179.67,168802749.3,128447464.5,3778424890.0,-1,-0.8049315045182257,True
3636,4546584996.0,768160106.0,111339284.3,656820821.7,3778424890.0,3778424890.0,3944755141.0,0.0,0.0,5977831.667,516377.6667,1638686.333,2750248.0,3986926.667,17402352.33,1008635.0,52187788.33,289.3333333,254.3333333,22765918.0,9909507.0,31605254.39,88092179.67,168802749.3,128447464.5,3778424890.0,-1,-0.8049315045182257,True
4610,4546584996.0,768160106.0,111339284.3,656820821.7,3778424890.0,3778424890.0,3944755141.0,0.0,0.0,5977831.667,516377.6667,1638686.333,2750248.0,3986926.667,17402352.33,1008635.0,52187788.33,289.3333333,254.3333333,22765918.0,9909507.0,31605254.39,88092179.67,168802749.3,128447464.5,3778424890.0,-1,-0.8049315045182257,True
4159,1637389526.0,136387900.0,84472776.0,51915124.0,1501013297.0,1501013297.0,1593672835.0,76155.0,975290.0,2661799.0,0.0,3596524.0,1538966.0,23040902.0,4104483.0,15466709.0,3337544.0,1872.0,1747.0,45211579.0,17018856.0,59993667.24,146471800.0,166020698.0,156246249.0,1501013297.0,-1,-0.7992501894312998,True
4420,1470171019.0,254923604.0,51867197.0,203056407.0,1215628396.0,1215628396.0,1285426172.0,72578.0,0.0,3666300.0,1430793.0,20009948.0,891965.0,1666412.0,5078532.0,6308938.0,2195279.0,1318.0,1291.0,50676096.0,22871476.0,71505919.28,120629464.0,273308289.0,196968876.5,1215628396.0,-1,-0.7985671033047004,True
