No,Water Meter ID,Reading ID,Reading Value,Reading Date,Previous Reading Value,Previous Reading Date,Reading Frequency,Reader ID,Type of Contract,Reading Validity,Certification on the ERP,Final Billing,Reason for Reading
451,IT-WM-447,READ-451,,15/05/2024,120.30,15/04/2024,Monthly,READER-01,Residential,Invalid,Yes,,Missing Reading
452,IT-WM-448,READ-452,89.75,16/05/2024,,16/04/2024,Monthly,READER-02,Commercial,Valid,Yes,89.75,Routine
453,IT-WM-449,READ-453,210.45,17/05/2024,210.45,,Monthly,READER-03,Industrial,Valid,No,0.00,
454,IT-WM-450,READ-454,320.10,18/05/2024,295.80,18/04/2024,Bimonthly,,Residential,Valid,Sì,156.30,Routine
455,IT-WM-451,READ-455,170.25,15/06/2024,145.50,15/05/2024,Monthly,READER-02,,Valid,YES,145.50,Routine
456,IT-WM-452,READ-456,55.30,19/05/2024,50.25,19/04/2024,Monthly,READER-04,Residential,Valid,No,,First Reading
457,IT-WM-453,READ-457,478.90,20/05/2024,450.25,20/04/2024,Bimonthly,READER-03,Commercial,Valid,,125.45,Routine
458,IT-WM-454,READ-458,,21/05/2024,110.75,21/04/2024,Monthly,READER-01,Residential,Invalid,Y,98.70,Missing
459,IT-WM-455,READ-459,987.65,22/05/2024,890.40,22/04/2024,Monthly,READER-05,Industrial,Suspicious,Yes,,
460,IT-WM-456,READ-460,95.20,16/06/2024,,16/05/2024,Monthly,READER-02,Commercial,Valid,Yes,95.20,Routine
461,IT-WM-457,READ-461,67.80,23/05/2024,45.30,23/04/2024,Monthly,READER-04,Residential,Valid,NO,,
462,IT-WM-458,READ-462,234.56,24/05/2024,215.90,24/04/2024,Monthly,,Residential,Valid,Yes,98.25,Routine
463,IT-WM-459,READ-463,0.00,25/05/2024,0.00,25/04/2024,Monthly,READER-03,Commercial,Valid,Yes,,
464,IT-WM-460,READ-464,456.78,26/05/2024,420.15,26/04/2024,Bimonthly,READER-05,Industrial,Valid,Yes,165.42,
465,IT-WM-461,READ-465,345.60,18/06/2024,,18/05/2024,Bimonthly,READER-01,Residential,Valid,Si,123.15,Routine
466,IT-WM-462,READ-466,78.90,27/05/2024,65.45,27/04/2024,Monthly,READER-02,Residential,Valid,Yes,,
467,IT-WM-463,READ-467,1234.56,28/05/2024,1150.20,28/04/2024,Monthly,READER-04,Industrial,Valid,Y,450.67,Routine
468,IT-WM-464,READ-468,9999.99,29/05/2024,150.75,29/04/2024,Monthly,READER-03,Residential,Invalid,Yes,,
469,IT-WM-465,READ-469,89.45,30/05/2024,78.90,30/04/2024,Monthly,READER-01,Residential,Valid,Yes,89.45,
470,IT-WM-466,READ-470,567.89,31/05/2024,510.25,31/04/2024,Monthly,READER-05,Commercial,Valid,Yes,234.56,Routine
471,IT-WM-467,READ-471,,01/06/2024,115.80,01/05/2024,Monthly,READER-02,Residential,Invalid,Yes,123.00,No Data
472,IT-WM-468,READ-472,789.01,02/06/2024,745.60,02/05/2024,Bimonthly,READER-04,Industrial,Valid,Yes,,
473,IT-WM-469,READ-473,234.00,03/06/2024,210.45,03/05/2024,Monthly,READER-01,Residential,Valid,Yes,234.00,Routine
474,IT-WM-470,READ-474,250.75,17/06/2024,,17/05/2024,Monthly,READER-03,Industrial,Valid,Yes,178.90,Estimated
475,IT-WM-471,READ-475,456.23,04/06/2024,430.10,04/05/2024,Monthly,READER-05,Commercial,Valid,Yes,,
476,IT-WM-472,READ-476,0.00,05/06/2024,0.00,05/05/2024,Monthly,READER-02,Residential,Valid,Yes,0.00,
477,IT-WM-473,READ-477,678.34,06/06/2024,645.20,06/05/2024,Monthly,READER-04,Industrial,Valid,Yes,678.34,Routine
478,IT-WM-474,READ-478,890.12,07/06/2024,856.78,07/05/2024,Bimonthly,READER-01,Commercial,Valid,Yes,,
479,IT-WM-475,READ-479,123.78,08/06/2024,115.45,08/05/2024,Monthly,READER-03,Residential,Valid,Yes,123.78,Routine
480,IT-WM-476,READ-480,345.67,09/06/2024,320.89,09/05/2024,Monthly,READER-05,Residential,Valid,Yes,,
481,IT-WM-477,READ-481,567.89,10/06/2024,534.12,10/05/2024,Monthly,READER-02,Commercial,Valid,Yes,567.89,Routine
