201,IT-WM-197,READ-201,678.90,29/07/2024,656.78,29/06/2024,Mensual,READER-02,residencial,Valid,1,678.90,Rutina
202,IT-WM-198,READ-202,890.12,30/07/2024,878.90,30/06/2024,Monthly,READER-04,COMERCIAL,Valid,yes,890.12,ROUTINE
203,IT-WM-199,READ-203,123.45,31/07/2024,111.23,31/06/2024,Bimonthly,READER-01,INDUSTRIAL,Valid,Y,123.45,routine
204,IT-WM-200,READ-204,234.56,01/08/2024,222.34,01/07/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
205,IT-WM-201,READ-205,456.78,02/08/2024,444.56,02/07/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
206,IT-WM-202,READ-206,678.90,03/08/2024,656.78,03/07/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
207,IT-WM-203,READ-207,890.12,04/08/2024,878.90,04/07/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
208,IT-WM-204,READ-208,123.45,05/08/2024,111.23,05/07/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
209,IT-WM-205,READ-209,234.56,06/08/2024,222.34,06/07/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
210,IT-WM-206,READ-210,456.78,07/08/2024,444.56,07/07/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
211,IT-WM-207,READ-211,678.90,08/08/2024,656.78,08/07/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
212,IT-WM-208,READ-212,890.12,09/08/2024,878.90,09/07/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
213,IT-WM-209,READ-213,123.45,10/08/2024,111.23,10/07/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
214,IT-WM-210,READ-214,234.56,11/08/2024,222.34,11/07/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
215,IT-WM-211,READ-215,456.78,12/08/2024,444.56,12/07/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
216,IT-WM-212,READ-216,678.90,13/08/2024,656.78,13/07/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
217,IT-WM-213,READ-217,890.12,14/08/2024,878.90,14/07/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
218,IT-WM-214,READ-218,123.45,15/08/2024,111.23,15/07/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
219,IT-WM-215,READ-219,234.56,16/08/2024,222.34,16/07/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
