No,Water Meter ID,Reading ID,Reading Value,Reading Date,Previous Reading Value,Previous Reading Date,Reading Frequency,Reader ID,Type of Contract,Reading Validity,Certification on the ERP,Final Billing,Reason for Reading
1,IT-WM-001,READ-001,145.5,2024-01-15,120.3,2023-12-15,monthly,READER-01,residential,True,True,125.4,Routine
2,IT-WM-002,READ-002,89.75,2024-01-16,75.2,2023-12-16,monthly,READER-02,residential,True,True,89.75,Routine
3,IT-WM-003,READ-003,456.78,2024-01-17,210.45,2023-12-17,monthly,READER-03,residential,False,True,0.0,Missing
4,IT-WM-004,READ-004,320.1,2024-01-18,295.8,2023-12-18,bimonthly,READER-01,residential,True,True,156.3,Routine
5,IT-WM-001,READ-005,170.25,2024-02-15,145.5,2024-01-15,monthly,READER-02,residential,True,True,145.5,Routine
6,IT-WM-005,READ-006,55.3,2024-01-19,,,monthly,READER-04,residential,True,True,55.3,First Reading
7,IT-WM-006,READ-007,478.9,2024-01-20,450.25,2023-11-20,bimonthly,READER-03,residential,True,True,125.45,Routine
8,IT-WM-007,READ-008,123.45,2024-01-21,110.75,2023-12-21,monthly,READER-01,residential,True,True,98.7,Routine
9,IT-WM-008,READ-009,987.65,2024-01-22,890.4,2023-12-22,monthly,READER-05,residential,True,True,450.8,Suspected Leak
10,IT-WM-002,READ-010,95.2,2024-02-16,89.75,2024-01-16,monthly,READER-02,residential,True,True,95.2,Routine
11,IT-WM-009,READ-011,67.8,2024-01-23,45.3,2023-12-23,monthly,READER-04,residential,True,True,67.8,High Consumption
12,IT-WM-010,READ-012,234.56,2024-01-24,215.9,2023-12-24,monthly,READER-01,residential,True,True,98.25,Routine
13,IT-WM-011,READ-013,0.0,2024-01-25,0.0,2023-12-25,monthly,READER-03,residential,True,True,0.0,Zero Consumption
14,IT-WM-012,READ-014,456.78,2024-01-26,420.15,2023-12-26,bimonthly,READER-05,residential,True,True,165.42,Routine
15,IT-WM-004,READ-015,345.6,2024-02-18,320.1,2024-01-18,bimonthly,READER-01,residential,True,True,123.15,Routine
16,IT-WM-013,READ-016,78.9,2024-01-27,65.45,2023-12-27,monthly,READER-02,residential,True,True,78.9,Routine
17,IT-WM-014,READ-017,1000.0,2024-01-28,1000.0,2023-12-28,monthly,READER-04,residential,True,True,450.67,Routine
18,IT-WM-015,READ-018,1000.0,2024-01-29,150.75,2023-12-29,monthly,READER-03,residential,False,True,0.0,Meter Failure
