No,Water Meter ID,Reading ID,Reading Value,Reading Date,Previous Reading Value,Previous Reading Date,Reading Frequency,Reader ID,Type of Contract,Reading Validity,Certification on the ERP,Final Billing,Reason for Reading
1,IT-WM-001,READ-001,145.5,15/01/2024,120.3,15/12/2023,Monthly,READER-01,Residential,Valid,Yes,125.4,Routine
2,IT-WM-002,READ-002,89.75,16/01/2024,75.2,16/12/2023,Monthly,READER-02,Commercial,Valid,Yes,89.75,Routine
3,IT-WM-003,READ-003,,17/01/2024,210.45,17/12/2023,Monthly,READER-03,Industrial,Invalid,No,0.0,Missing
4,IT-WM-004,READ-004,320.1,18/01/2024,295.8,18/12/2023,Bimonthly,READER-01,Residential,Valid,Sì,156.3,Routine
5,IT-WM-001,READ-005,170.25,15/02/2024,145.5,15/01/2024,Monthly,READER-02,Residential,Valid,YES,145.5,Routine
6,IT-WM-005,READ-006,55.3,19/01/2024,,,Monthly,READER-04,Residential,Valid,No,55.3,First Reading
7,IT-WM-006,READ-007,478.9,20/01/2024,450.25,20/11/2023,Bimonthly,READER-03,Commercial,Valid,Yes,125.45,Routine
8,IT-WM-007,READ-008,123.45,21/01/2024,110.75,21/12/2023,Monthly,READER-01,Residential,Valid,Y,98.7,Routine
9,IT-WM-008,READ-009,987.65,22/01/2024,890.4,22/12/2023,Monthly,READER-05,Industrial,Suspicious,Yes,450.8,Suspected Leak
10,IT-WM-002,READ-010,95.2,16/02/2024,89.75,16/01/2024,Monthly,READER-02,Commercial,Valid,Yes,95.2,Routine
11,IT-WM-009,READ-011,67.8,23/01/2024,45.3,23/12/2023,Monthly,READER-04,Residential,Valid,NO,67.8,High Consumption
12,IT-WM-010,READ-012,234.56,24/01/2024,215.9,24/12/2023,Monthly,READER-01,Residential,Valid,Yes,98.25,Routine
13,IT-WM-011,READ-013,0.0,25/01/2024,0.0,25/12/2023,Monthly,READER-03,Commercial,Valid,Yes,0.0,Zero Consumption
14,IT-WM-012,READ-014,456.78,26/01/2024,420.15,26/12/2023,Bimonthly,READER-05,Industrial,Valid,Yes,165.42,Routine
15,IT-WM-004,READ-015,345.6,18/02/2024,320.1,18/01/2024,Bimonthly,READER-01,Residential,Valid,Si,123.15,Routine
16,IT-WM-013,READ-016,78.9,27/01/2024,65.45,27/12/2023,Monthly,READER-02,Residential,Valid,Yes,78.9,Routine
17,IT-WM-014,READ-017,1234.56,28/01/2024,1150.2,28/12/2023,Monthly,READER-04,Industrial,Valid,Y,450.67,Routine
18,IT-WM-015,READ-018,9999.99,29/01/2024,150.75,29/12/2023,Monthly,READER-03,Residential,Invalid,Yes,0.0,Meter Failure
19,IT-WM-016,READ-019,89.45,30/01/2024,78.9,30/12/2023,Monthly,READER-01,Residential,Valid,Yes,89.45,Routine
